id,category,question_pattern,approved_answer,evidence_source,last_reviewed,owner,approval_status
ANS-001,Product,What is the core technology stack?,Northstar Analytics platform is built on React frontend | PostgreSQL database | Apache Spark processing | and deployed on Microsoft Azure cloud infrastructure.,Product Architecture Doc v4.2,2024-06-15,Raj Mehta,approved
ANS-002,Product,How many concurrent users does the platform support?,The platform supports up to 10000 concurrent users per tenant with horizontal auto-scaling. Performance SLAs are maintained at P95 latency under 500ms.,Load Testing Report Q1-2024,2024-06-15,Raj Mehta,approved
ANS-003,Security,Is the platform SOC 2 certified?,Yes. Northstar Analytics maintains SOC 2 Type II certification. Our most recent audit was completed in June 2024 by Deloitte with zero exceptions noted.,SOC 2 Type II Report 2024,2024-07-01,David Okafor,approved
ANS-004,Security,How is data encrypted?,All data is encrypted at rest using AES-256 and in transit using TLS 1.3. Database field-level encryption is available for sensitive data elements.,Security Architecture Document v3.1,2024-07-01,David Okafor,approved
ANS-005,Security,Do you conduct penetration testing?,Yes. We engage an independent third-party firm to conduct annual penetration testing. Critical and high findings are remediated within 30 days. Reports are available under NDA.,Pentest Report - CrowdShield 2024,2024-07-01,David Okafor,approved
ANS-006,Privacy,How do you handle data subject access requests?,Our platform includes a data subject request workflow that enables clients to fulfill access | correction | and deletion requests within the required timeframes. Clients retain control over the DSAR process.,Privacy Operations Playbook v2.0,2024-05-20,Emily Watson,approved
ANS-007,Privacy,What is your data retention policy?,Data is retained for the duration of the client contract plus 90 days. Clients may configure shorter retention periods. Upon contract termination all client data is securely deleted within 90 days with certification provided.,Data Retention Policy v1.4,2024-05-20,Emily Watson,approved
ANS-008,Implementation,What is the typical implementation timeline?,Standard implementations range from 12-20 weeks depending on scope and complexity. Factors include number of data integrations | user count | and customization requirements.,Implementation Methodology Guide v3.0,2024-06-01,Lisa Fernandez,approved
ANS-009,Implementation,What methodology do you use for implementation?,We follow an agile implementation methodology with 2-week sprints | regular stakeholder demos | and iterative delivery. Each phase has defined acceptance criteria and gate reviews.,Implementation Methodology Guide v3.0,2024-06-01,Lisa Fernandez,approved
ANS-010,Support,What are your standard SLA response times?,Severity 1 (system down): 1-hour response | 4-hour resolution target. Severity 2: 4-hour response. Severity 3: 1 business day. Severity 4: 3 business days. 24/7 support for Sev 1 and 2.,Support SLA Document v2.1,2024-04-15,Mike Patterson,approved
ANS-011,Support,What support channels are available?,We offer 24/7 phone and email support for critical issues | business hours support for standard issues | an online self-service portal | and a dedicated Customer Success Manager for enterprise accounts.,Support Operations Guide v2.0,2024-04-15,Mike Patterson,approved
ANS-012,Legal,Do you sign BAAs for HIPAA compliance?,Yes. We execute Business Associate Agreements for clients subject to HIPAA. Our BAA template has been reviewed by outside counsel and is available for review during contract negotiations.,Legal Templates Repository,2024-05-01,Jennifer Liu,approved
ANS-013,Legal,What is your limitation of liability?,Our standard limitation of liability is capped at 12 months of fees paid. Exceptions require approval from General Counsel and are evaluated on a case-by-case basis.,Standard Contract Terms v5.0,2024-05-01,Jennifer Liu,approved
ANS-014,Pricing,What is the pricing model?,We offer subscription-based pricing with annual or multi-year terms. Pricing is based on the number of named users and the modules selected. Volume discounts are available for commitments above 500 users.,Pricing Guide FY2025,2024-07-01,Sarah Chen,approved
ANS-015,Pricing,Are there implementation fees?,Yes. Implementation fees are based on project scope and typically range from $75K to $300K depending on the number of integrations | institutions | and customization requirements.,Pricing Guide FY2025,2024-07-01,Sarah Chen,approved
ANS-016,Accessibility,Is the platform WCAG compliant?,Our platform conforms to WCAG 2.1 Level AA standards. A current VPAT (Voluntary Product Accessibility Template) is available upon request.,VPAT Report v2024.1,2024-06-01,Raj Mehta,approved
ANS-017,Product,Do you support single sign-on?,Yes. We support SAML 2.0 and OAuth 2.0 / OpenID Connect for single sign-on integration. We have validated integrations with Azure AD | Okta | and Ping Identity.,Integration Specifications v4.0,2024-06-15,Raj Mehta,approved
ANS-018,Security,Do you have a vulnerability disclosure program?,Yes. We maintain a responsible vulnerability disclosure program and monitor CVE databases daily. Critical patches are applied within 24 hours. We also participate in a private bug bounty program.,Vulnerability Management Policy v2.3,2024-07-01,David Okafor,approved
ANS-019,Product,Can the platform be deployed on-premises?,Our primary delivery model is SaaS (cloud-hosted). On-premises deployment is available for enterprise clients with specific regulatory requirements. On-prem pricing differs from SaaS pricing.,Deployment Options Datasheet,2024-06-15,Raj Mehta,approved
ANS-020,Implementation,Do you provide data migration services?,Yes. We provide full data migration services including data profiling | mapping | transformation | and validation. Historical data migration is included in the implementation scope.,Implementation Methodology Guide v3.0,2024-06-01,Lisa Fernandez,approved
ANS-021,Security,What is your disaster recovery capability?,We maintain a hot standby environment in a geographically separate Azure region. RTO is 4 hours and RPO is 1 hour. DR failover is tested semi-annually with results documented.,BC/DR Plan v3.0,2024-07-01,David Okafor,approved
ANS-022,Privacy,Are you compliant with GDPR?,Yes. Our platform and processes are designed to comply with GDPR requirements. We offer Data Processing Agreements and support data residency in EU Azure regions for clients requiring EU data storage.,GDPR Compliance Statement v2.0,2024-05-20,Emily Watson,under_review
ANS-023,Support,Do you provide a dedicated Customer Success Manager?,Yes. All enterprise accounts are assigned a dedicated Customer Success Manager who conducts quarterly business reviews | monitors adoption metrics | and serves as an escalation point.,Customer Success Program Guide,2024-04-15,Mike Patterson,approved
ANS-024,Legal,What insurance coverage do you carry?,We carry General Liability ($5M) | Professional Liability ($10M) | Cyber Liability ($10M) | and Workers Compensation at statutory limits. Certificates of insurance are available upon request.,Insurance Policy Summary FY2025,2024-05-01,Jennifer Liu,approved
