id,risk_area,trigger_pattern,severity,reason,recommended_action,required_approver
RISK-001,Liability,Unlimited liability or uncapped liability language,Critical,Unlimited liability exposes the company to disproportionate financial risk relative to contract value,Propose liability cap at 12 months of fees paid; escalate to General Counsel if buyer insists,Jennifer Liu
RISK-002,SLA,Uptime commitment above 99.9% or custom SLA terms,High,Our infrastructure is architected for 99.9% availability; commitments above this require additional investment and carry penalty risk,Offer 99.9% standard SLA; any higher commitment requires CTO and Finance approval,Raj Mehta
RISK-003,SLA,Service credits exceeding 3% of monthly fees per incident,High,Excessive service credits can significantly impact deal profitability and set unfavorable precedent,Propose standard service credit schedule (1% per 0.1% below SLA); escalate exceptions to Finance,Carlos Rivera
RISK-004,Data Residency,Specific country or region data residency requirement beyond US and EU,Medium,Custom data residency may require new infrastructure deployment and ongoing operational costs,Confirm Azure region availability; estimate incremental cost; require minimum 3-year commitment for custom residency,Raj Mehta
RISK-005,Roadmap,Commitment to deliver specific features by a specific date,Critical,Roadmap commitments create contractual obligations that constrain product development flexibility and carry penalty risk,Never commit to specific features or dates in contracts; offer roadmap briefings and advisory board participation instead,Raj Mehta
RISK-006,Security,Buyer requests right to conduct their own security audit or penetration test,Medium,Direct security audits by buyers create operational overhead and potential exposure of security architecture details,Offer SOC 2 report and annual pentest summary; if insufficient offer supervised audit with 30-day advance notice,David Okafor
RISK-007,Legal,Source code escrow requirement,Medium,Source code escrow introduces IP management complexity and ongoing administrative burden,Agree to escrow with standard release conditions (bankruptcy; cessation of business; material breach not cured in 90 days),Jennifer Liu
RISK-008,Pricing,Most-favored-customer or most-favored-nation pricing clause,High,MFN clauses constrain future pricing flexibility and can trigger retroactive adjustments across the customer base,Decline MFN clauses; offer competitive pricing commitment for the specific deal instead,Carlos Rivera
RISK-009,Liability,Uncapped indemnification obligation,Critical,Uncapped indemnity creates unlimited financial exposure particularly for IP and data breach claims,Propose indemnity cap equal to limitation of liability; carve-outs for IP infringement only with mutual cap,Jennifer Liu
RISK-010,Implementation,Penalties or liquidated damages for missed implementation milestones,High,Implementation timelines depend on buyer cooperation; penalties for delays create one-sided risk exposure,Include mutual dependency language; propose timeline extensions for buyer-caused delays; cap penalties at 5% of implementation fees,Lisa Fernandez
RISK-011,Compliance,CJIS Security Policy compliance requirement,High,CJIS compliance requires specific technical controls | background checks | and ongoing audit obligations that we currently meet but must maintain,Confirm current CJIS compliance status; ensure contract includes mutual obligations for maintaining compliance,David Okafor
RISK-012,Compliance,FedRAMP authorization requirement,Critical,FedRAMP authorization is a multi-year process requiring significant investment; we currently hold StateRAMP but not FedRAMP,Clarify whether StateRAMP is acceptable; if FedRAMP is mandatory this may be a no-bid unless timeline allows 18+ months,David Okafor
RISK-013,Insurance,Insurance requirements exceeding $5M per occurrence or $10M aggregate,Medium,Increasing insurance coverage above current policy limits requires additional premium costs that impact deal economics,Confirm current coverage levels; obtain quote for incremental coverage; include cost in deal pricing,Jennifer Liu
RISK-014,Legal,Requirement to accept buyer paper (buyer's contract template) without negotiation,Medium,Buyer paper often contains unfavorable terms that may not be identified without thorough legal review,Request adequate time for legal review (minimum 2 weeks); identify key terms requiring modification; escalate non-negotiable buyer terms,Jennifer Liu
RISK-015,Data Residency,Requirement that data never leave a specific jurisdiction even for disaster recovery,High,Strict single-jurisdiction requirements may prevent effective disaster recovery and limit our operational flexibility,Assess feasibility of single-region DR; propose within-jurisdiction backup solution; price incremental infrastructure cost,Raj Mehta
